계약날짜,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문,동작구,마포구,서대문,서초구,성동구,성북구,송파구,양천구,영등포,용산구,은평구,종로구,중구 ,중랑구,합계
20060416,5.0,6.0,2.0,6.0,9.0,6.0,12.0,3.0,10.0,2.0,2.0,10.0,4.0,4.0,9.0,5.0,3.0,5.0,6.0,4.0,4.0,1.0,0.0,2.0,4.0,124.0
20060417,23.0,20.0,4.0,30.0,15.0,11.0,27.0,7.0,38.0,16.0,11.0,16.0,5.0,7.0,27.0,16.0,8.0,26.0,28.0,18.0,10.0,3.0,1.0,2.0,15.0,384.0
20060418,31.0,17.0,4.0,25.0,14.0,9.0,15.0,7.0,39.0,14.0,7.0,17.0,14.0,7.0,20.0,20.0,7.0,18.0,26.0,15.0,13.0,4.0,1.0,1.0,9.0,354.0
20060419,29.0,13.0,4.0,18.0,13.0,9.0,17.0,5.0,40.0,14.0,8.0,19.0,12.0,6.0,15.0,11.0,5.0,22.0,22.0,12.0,7.0,6.0,2.0,3.0,8.0,320.0
20060420,25.0,21.0,7.0,34.0,20.0,7.0,13.0,8.0,38.0,11.0,6.0,6.0,7.0,11.0,22.0,14.0,19.0,21.0,26.0,17.0,12.0,7.0,4.0,1.0,9.0,366.0
20060421,24.0,25.0,5.0,37.0,9.0,6.0,9.0,6.0,37.0,16.0,3.0,13.0,8.0,8.0,16.0,11.0,12.0,19.0,22.0,11.0,9.0,6.0,2.0,3.0,13.0,330.0
20060422,17.0,23.0,5.0,42.0,14.0,10.0,24.0,5.0,32.0,15.0,6.0,7.0,17.0,4.0,21.0,12.0,6.0,22.0,18.0,15.0,8.0,7.0,1.0,2.0,8.0,341.0
20060423,3.0,8.0,2.0,6.0,12.0,5.0,13.0,3.0,3.0,4.0,4.0,6.0,2.0,1.0,5.0,3.0,4.0,7.0,9.0,5.0,1.0,0.0,1.0,0.0,1.0,108.0
20060424,38.0,36.0,9.0,42.0,9.0,10.0,23.0,8.0,36.0,18.0,13.0,9.0,11.0,7.0,15.0,11.0,11.0,14.0,22.0,12.0,9.0,9.0,1.0,2.0,8.0,383.0
20060425,36.0,24.0,12.0,20.0,16.0,12.0,18.0,5.0,36.0,21.0,12.0,13.0,14.0,9.0,26.0,15.0,12.0,18.0,21.0,16.0,4.0,5.0,1.0,1.0,11.0,378.0
20060426,23.0,26.0,7.0,26.0,10.0,10.0,17.0,8.0,30.0,9.0,5.0,17.0,8.0,5.0,22.0,6.0,5.0,24.0,30.0,18.0,7.0,3.0,1.0,1.0,15.0,333.0
20060427,15.0,29.0,7.0,29.0,18.0,6.0,24.0,7.0,28.0,12.0,7.0,10.0,15.0,3.0,29.0,17.0,11.0,20.0,27.0,13.0,5.0,3.0,2.0,2.0,11.0,350.0
20060428,33.0,26.0,1.0,26.0,14.0,8.0,21.0,3.0,43.0,10.0,9.0,14.0,7.0,5.0,20.0,14.0,5.0,27.0,22.0,15.0,7.0,7.0,2.0,5.0,12.0,356.0
20060429,26.0,34.0,1.0,22.0,7.0,9.0,16.0,5.0,53.0,18.0,11.0,12.0,15.0,6.0,20.0,12.0,10.0,37.0,17.0,9.0,6.0,7.0,3.0,4.0,5.0,365.0
20060430,4.0,5.0,4.0,8.0,12.0,5.0,8.0,2.0,7.0,4.0,2.0,2.0,7.0,10.0,4.0,2.0,5.0,6.0,11.0,7.0,3.0,2.0,8.0,1.0,5.0,134.0
20060501,26.0,34.0,11.0,36.0,20.0,6.0,24.0,5.0,56.0,21.0,14.0,11.0,12.0,12.0,15.0,13.0,17.0,28.0,27.0,23.0,16.0,8.0,3.0,2.0,12.0,452.0
20060502,30.0,25.0,9.0,23.0,14.0,16.0,26.0,6.0,38.0,19.0,16.0,16.0,14.0,8.0,22.0,21.0,14.0,23.0,25.0,25.0,16.0,10.0,2.0,2.0,10.0,430.0
20060503,17.0,17.0,5.0,30.0,8.0,6.0,15.0,4.0,38.0,12.0,9.0,6.0,8.0,12.0,12.0,15.0,11.0,20.0,26.0,11.0,7.0,4.0,2.0,5.0,8.0,308.0
20060504,18.0,14.0,7.0,31.0,14.0,19.0,22.0,12.0,29.0,14.0,4.0,13.0,13.0,1.0,22.0,20.0,10.0,20.0,21.0,9.0,16.0,4.0,1.0,4.0,15.0,353.0
