사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018092900100353,2018년 9월 29일 15시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,승용,남,28세,경상
2018101100100402,2018년 10월 11일 17시,목요일,경기도 수원시 권선구 권선동,부상신고사고,0,0,0,1,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,27세,부상신고
2018111800100005,2018년 11월 18일 00시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,1,차대차 - 기타,중앙선침범,포장 - 건조,맑음,기타 - 기타,승용,남,64세,상해없음,승용,남,55세,경상
2018112700100256,2018년 11월 27일 13시,화요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,50세,상해없음,승용,남,35세,경상
2018121300100168,2018년 12월 13일 09시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 적설,눈,단일로 - 기타,승용,남,29세,상해없음,승용,남,55세,경상
2018121600100046,2018년 12월 16일 02시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 후진중충돌,불법유턴,포장 - 건조,맑음,교차로 - 교차로안,승합,남,50세,상해없음,승용,남,24세,경상
2018122100100618,2018년 12월 21일 21시,금요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,이륜,남,61세,중상
2018123000100313,2018년 12월 30일 19시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,34세,경상
2019010400100035,2019년 1월 4일 02시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,58세,상해없음,보행자,여,83세,경상
2019010400100080,2019년 1월 4일 07시,금요일,경기도 수원시 권선구 권선동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,승용,남,54세,중상
2019010500100071,2019년 1월 5일 03시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,승용,남,50세,중상
2019020200100414,2019년 2월 2일 17시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,52세,상해없음,승용,남,59세,상해없음
2019022100100278,2019년 2월 21일 13시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,여,48세,경상
2019022500100372,2019년 2월 25일 16시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,61세,경상,화물,남,47세,상해없음
2019030700100219,2019년 3월 7일 11시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,48세,상해없음,보행자,남,75세,경상
2019032100100145,2019년 3월 21일 08시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,여,35세,경상
2019032900100648,2019년 3월 29일 21시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,여,52세,경상
2019040600100528,2019년 4월 6일 19시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,남,48세,중상
2019053000100067,2019년 5월 30일 03시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,5,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,32세,상해없음,승용,남,44세,경상
2019060600100113,2019년 6월 6일 06시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,56세,상해없음,승용,남,34세,경상
2019061400100333,2019년 6월 14일 14시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,59세,상해없음,승용,남,23세,경상
